goos: darwin
goarch: arm64
pkg: gcopt/q1_devirt
cpu: Apple M1
BenchmarkLoopAppendNaive-8   	   90254	      3910 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   92586	      3905 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   93595	      3941 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   93128	      3892 ns/op	   17912 B/op	      13 allocs/op
BenchmarkFixedPlus4-8        	17650483	        20.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17628156	        20.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17756440	        20.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17586640	        20.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17575978	        20.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17643382	        20.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17255738	        20.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17588108	        20.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17598747	        20.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedPlus4-8        	17624811	        20.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkFixedBuilder4-8     	 9944373	        35.90 ns/op	      36 B/op	       1 allocs/op
